,Date,Destination,Distance,Modo,Origin,ProjectID,Trips
136,2020-03-02,122:164,5_10,bus,152:134,42,
137,2020-03-02,122:164,5_10,bus,158:128,42,
138,2020-03-02,122:164,5_10,bus,97:102,42,
139,2020-03-02,123:163,5_10,bus,122:164,42,
140,2020-03-02,123:163,5_10,bus,126:160,42,12.0
141,2020-03-02,123:163,5_10,bus,127:159,42,
142,2020-03-02,123:163,5_10,bus,150:120,42,
143,2020-03-02,123:163,5_10,bus,158:128,42,
144,2020-03-02,123:163,5_10,bus,97:102,42,
145,2020-03-02,124:162,5_10,bus,85:106,42,
146,2020-03-02,124:162,5_10,bus,88:103,42,14.0
147,2020-03-02,124:162,5_10,bus,90:117,42,25.0
148,2020-03-02,124:162,5_10,bus,97:102,42,
149,2020-03-02,125:161,5_10,bus,124:162,42,
150,2020-03-02,125:161,5_10,bus,137:149,42,
151,2020-03-02,125:161,5_10,bus,159:127,42,
152,2020-03-02,125:161,5_10,bus,85:106,42,
153,2020-03-02,125:161,5_10,bus,88:103,42,11.0
154,2020-03-02,125:161,5_10,bus,90:117,42,16.0
155,2020-03-02,125:161,5_10,bus,97:102,42,
156,2020-03-02,126:160,5_10,bus,109:169,42,
157,2020-03-02,126:160,5_10,bus,123:163,42,
158,2020-03-02,126:160,5_10,bus,126:160,42,40.0
159,2020-03-02,126:160,5_10,bus,155:131,42,
160,2020-03-02,126:160,5_10,bus,156:130,42,
161,2020-03-02,126:160,5_10,bus,160:110,42,14.0
162,2020-03-02,126:160,5_10,bus,87:104,42,
163,2020-03-02,126:160,5_10,bus,90:117,42,12.0
164,2020-03-02,126:160,5_10,bus,91:116,42,
165,2020-03-02,126:160,5_10,bus,92:115,42,11.0
166,2020-03-02,126:160,5_10,bus,93:114,42,
167,2020-03-02,126:160,5_10,bus,94:113,42,
168,2020-03-02,126:160,5_10,bus,97:102,42,
169,2020-03-02,127:159,5_10,bus,109:169,42,
170,2020-03-02,127:159,5_10,bus,123:163,42,12.0
171,2020-03-02,127:159,5_10,bus,126:160,42,11.0
172,2020-03-02,127:159,5_10,bus,127:159,42,18.0
173,2020-03-02,127:159,5_10,bus,152:134,42,
174,2020-03-02,127:159,5_10,bus,156:130,42,
175,2020-03-02,127:159,5_10,bus,93:114,42,23.0
176,2020-03-02,127:159,5_10,bus,94:113,42,13.0
177,2020-03-02,127:159,5_10,bus,97:102,42,
178,2020-03-02,128:142,5_10,bus,100:206,42,
179,2020-03-02,128:142,5_10,bus,107:207,42,10.0
180,2020-03-02,128:142,5_10,bus,143:143,42,11.0
181,2020-03-02,128:142,5_10,bus,83:108,42,16.0
182,2020-03-02,129:141,5_10,bus,101:205,42,18.0
183,2020-03-02,129:141,5_10,bus,129:141,42,99.0
184,2020-03-02,129:141,5_10,bus,130:140,42,
185,2020-03-02,129:141,5_10,bus,151:119,42,
