ProjectID,Date,Origin,Destination,Modo,0_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94
42,2019-11-24,102:204,160:110,private_transport,11.0,,,,,,,,,,,,,,,,
42,2019-11-24,102:204,45:319,private_transport,,,,,,,,10.0,,,,,,,,,
42,2019-11-24,102:204,76:314,private_transport,,,14.0,,,,,,,,,,,,,,
42,2019-11-24,102:204,89:118,microtrip,,,10.0,,,,,,,,,,,,,,
42,2019-11-24,102:204,96:111,microtrip,,,,,,,11.0,10.0,,,,,,,,,
42,2019-11-24,102:204,96:111,private_transport,,,,,11.0,,,,,,,,,,,,
42,2019-11-24,102:204,9:509,private_transport,,,,,,25.0,,,,,,,,,,,
42,2019-11-24,102:204,120:166,microtrip,,,11.0,,,,,,10.0,,,,,,,,
42,2019-11-24,102:204,81:323,private_transport,11.0,,,,,,,,,,,,,,,,
42,2019-11-24,103:203,103:203,bus,,,,10.0,,,,,,,,,,,,,
42,2019-11-24,103:203,103:203,microtrip,,,,,14.0,14.0,21.0,16.0,,16.0,13.0,,,,,,
42,2019-11-24,103:203,103:203,private_transport,31.0,,57.0,59.0,20.0,59.0,47.0,12.0,34.0,29.0,,10.0,,,,,
42,2019-11-24,103:203,127:159,private_transport,,,,,,19.0,,,,,,,,,,,
42,2019-11-24,103:203,129:141,private_transport,,,,26.0,,,,,,,,,,,,,
42,2019-11-24,103:203,138:148,bus,14.0,,,,,,,,,,,,,,,,
42,2019-11-24,103:203,138:148,microtrip,,,10.0,,,35.0,27.0,13.0,,,12.0,16.0,,,,,
42,2019-11-24,103:203,138:148,private_transport,48.0,,44.0,52.0,40.0,20.0,36.0,,37.0,25.0,,18.0,,,,,
42,2019-11-24,103:203,144:126,private_transport,11.0,,,,,,16.0,,,,,,,,,,
42,2019-11-24,103:203,159:127,microtrip,,,,,,,,10.0,,,,,,,,,
42,2019-11-24,103:203,159:127,private_transport,,,,,,,14.0,,,,,,,,,,
42,2019-11-24,103:203,57:310,private_transport,,,,,,31.0,,,,,,,,,,,
42,2019-11-24,103:203,61:413,private_transport,,,,,,,,31.0,,,,,,,,,
42,2019-11-24,103:203,68:315,private_transport,,,,,,,12.0,,,,,,,,,,
42,2019-11-24,103:203,83:108,bus,,,,,,,,11.0,,,,,,,,,
42,2019-11-24,103:203,83:108,private_transport,,,,,,,,14.0,,,,,,,,,
42,2019-11-24,103:203,98:217,bus,,,,,,10.0,,,,,,,,,,,
42,2019-11-24,103:203,98:217,private_transport,13.0,,,,,,,24.0,,12.0,,,,,,,
42,2019-11-24,103:203,110:168,private_transport,,,19.0,,,13.0,27.0,,,,,,,,,,
42,2019-11-24,103:203,126:160,private_transport,,,34.0,,,,,,,,,,,,,,
42,2019-11-24,103:203,128:142,private_transport,12.0,,,,,,,12.0,,,,,,,,,
42,2019-11-24,103:203,145:125,private_transport,,,,,,,,12.0,,,,,,,,,
42,2019-11-24,103:203,149:121,private_transport,,,,,,,11.0,,,,,,,,,,
42,2019-11-24,103:203,156:130,private_transport,,,,,,11.0,,,,,,,,,,,
42,2019-11-24,103:203,158:128,private_transport,,,,,,,,,,,,19.0,,,,,
42,2019-11-24,103:203,160:110,private_transport,,,13.0,,,,,,,,,,,,,,
42,2019-11-24,103:203,45:319,microtrip,,,,,,,,,10.0,,,,,,,,
42,2019-11-24,103:203,45:319,private_transport,20.0,,43.0,,67.0,,90.0,13.0,11.0,,,,,,,,
42,2019-11-24,103:203,50:412,private_transport,,,,,85.0,,16.0,,,,,,,,,,
42,2019-11-24,103:203,56:416,private_transport,,,,,,14.0,,,,,,,,,,,
42,2019-11-24,103:203,58:303,bus,,,,13.0,,,,,,,,,,,,,
42,2019-11-24,103:203,58:303,private_transport,12.0,,,34.0,11.0,25.0,11.0,,,,,,,,,,
42,2019-11-24,103:203,64:306,private_transport,,,,13.0,,,,12.0,,,,,,,,,
42,2019-11-24,103:203,76:314,private_transport,,,,,,,60.0,,,,25.0,,,,,,
42,2019-11-24,103:203,86:105,private_transport,,,17.0,,,,10.0,,,,,,,,,,
42,2019-11-24,103:203,9:509,private_transport,122.0,,40.0,,,,156.0,10.0,,42.0,48.0,,57.0,,,,
42,2019-11-24,103:203,0:500,private_transport,64.0,,,,,,,,,,,,,,,,
42,2019-11-24,103:203,104:202,private_transport,,,18.0,,,26.0,,,,,,,,,,,
42,2019-11-24,103:203,109:169,private_transport,,,,11.0,,12.0,,22.0,,21.0,,,,,,,
42,2019-11-24,103:203,111:167,private_transport,,,10.0,,49.0,,,,,25.0,,,,,,,
42,2019-11-24,103:203,121:165,microtrip,,,,,,,10.0,,,,,,,,,,
42,2019-11-24,103:203,121:165,private_transport,,,19.0,,,,,,,,,,,,,,
42,2019-11-24,103:203,122:164,private_transport,11.0,,,,,30.0,,,,,,,,,,,
42,2019-11-24,103:203,124:162,private_transport,,,,,,,17.0,12.0,,,,,,,,,
42,2019-11-24,103:203,131:139,private_transport,,,,16.0,,21.0,22.0,14.0,,,,,,,,,
42,2019-11-24,103:203,133:137,private_transport,,,,,,,16.0,,,,,,,,,,
42,2019-11-24,103:203,135:135,private_transport,,,,,,,,,,20.0,,,,,,,
42,2019-11-24,103:203,137:149,bus,,,,21.0,,,,,,,,,,,,,
42,2019-11-24,103:203,137:149,microtrip,10.0,,,15.0,13.0,24.0,,,,11.0,,,,,,,
42,2019-11-24,103:203,137:149,private_transport,10.0,,11.0,22.0,,,28.0,,35.0,,,,,,,,
42,2019-11-24,103:203,150:120,private_transport,23.0,,,,,,,,,,,,,,,,
42,2019-11-24,103:203,155:131,private_transport,,,,,,10.0,,11.0,,,,,,,,,
42,2019-11-24,103:203,25:525,private_transport,63.0,,,,25.0,,,,,,,,,,,,
42,2019-11-24,103:203,276:144,private_transport,,,,,,,,25.0,,,,,,,,,
42,2019-11-24,103:203,32:532,private_transport,,,,47.0,66.0,,16.0,,,,,,,,,,
42,2019-11-24,103:203,37:537,private_transport,,,20.0,,,,,,,,,,,,,,
42,2019-11-24,103:203,48:301,private_transport,52.0,,38.0,,,,,,,,,,,,,,
42,2019-11-24,103:203,53:309,private_transport,,,,13.0,,,,,,,,,,,,,
42,2019-11-24,103:203,54:419,private_transport,11.0,,,,,,,,,,,,,,,,
42,2019-11-24,103:203,71:326,private_transport,,,23.0,,,,,,,,,,,,,,
42,2019-11-24,103:203,72:411,private_transport,,,,,,,,,11.0,,,,,,,,
42,2019-11-24,103:203,77:312,private_transport,,,,,10.0,,,,,,,,,,,,
42,2019-11-24,103:203,78:302,private_transport,,,10.0,,,,,,,,,,,,,,
42,2019-11-24,103:203,84:107,private_transport,,,13.0,,,,,,,,,,,,,,
42,2019-11-24,103:203,85:106,private_transport,,,,,,,15.0,,,,,13.0,,,,,
42,2019-11-24,103:203,87:104,private_transport,11.0,,,,,,,,,,,,,,,,
42,2019-11-24,103:203,88:103,private_transport,,,,,,,14.0,,,,,22.0,,,,,
42,2019-11-24,103:203,91:116,private_transport,,,,,,12.0,,,,,,,,,,,
42,2019-11-24,103:203,93:114,private_transport,,,,,,16.0,,,,,,,,,,,
42,2019-11-24,103:203,95:112,microtrip,,,,12.0,10.0,,,,,,,,,,,,
42,2019-11-24,103:203,97:102,private_transport,,,,,,25.0,,,,,,,,,,,
42,2019-11-24,104:202,101:205,private_transport,,,,,,17.0,,,,,,,,,,,
42,2019-11-24,104:202,103:203,private_transport,17.0,,,10.0,,,,,,,24.0,,,,,,
42,2019-11-24,104:202,106:208,private_transport,,,,,,12.0,,,,,,,,,,,
42,2019-11-24,104:202,107:207,private_transport,,,,11.0,12.0,,,,,,,,,,,,
42,2019-11-24,104:202,127:159,private_transport,,,,,,21.0,,,,,,,,,,,
42,2019-11-24,104:202,129:141,private_transport,,,,11.0,,,,,,,,,,,,,
42,2019-11-24,104:202,138:148,private_transport,13.0,,,16.0,,17.0,,,19.0,12.0,,,,,,,
42,2019-11-24,104:202,144:126,private_transport,10.0,,,,,,,,,,,,,,,,
42,2019-11-24,104:202,147:123,private_transport,23.0,,,,,19.0,,19.0,,,,,,,,,
42,2019-11-24,104:202,152:134,private_transport,,,,,,11.0,,,,,,,,,,,
42,2019-11-24,104:202,57:310,private_transport,,,,,67.0,12.0,,,,,,,,,,,
42,2019-11-24,104:202,61:413,private_transport,30.0,,28.0,,,,37.0,48.0,,,,,,,,,
42,2019-11-24,104:202,68:315,private_transport,,,,,,,39.0,,,,,,,,,,
42,2019-11-24,104:202,83:108,private_transport,,,,,45.0,,,,,,,,,,,,
42,2019-11-24,104:202,98:217,private_transport,,,,,16.0,22.0,,,,,,,,,,,
42,2019-11-24,104:202,110:168,microtrip,,,,,11.0,21.0,,,,,,,,,,,
42,2019-11-24,104:202,110:168,private_transport,81.0,,24.0,,12.0,32.0,,18.0,18.0,,,18.0,,,,,
42,2019-11-24,104:202,126:160,bus,,,,,,12.0,,,,,,,,,,,
42,2019-11-24,104:202,146:124,private_transport,,,,,,33.0,,,,,,,,,,,
