ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359,Total_M,Total_T,Total_MT,Total,Chave_O+D
7,2019-11-17,102,168,private_transport,27,,,,,,,,,,,,,,,16,,,28,,96,,,,0,28,69,167,102_168
7,2019-11-17,102,169,bus,,,,,,,,,,,,,,,,37,,,,,,,,,0,0,69,37,102_169
7,2019-11-17,102,169,microtrip,,,,,,,,,,13,13,10,,,16,,24,,,,,11,,,0,0,69,87,102_169
7,2019-11-17,102,169,private_transport,,,,,,,,,,,,,,,,52,,,14,,,,,,0,14,69,66,102_169
7,2019-11-17,102,170,microtrip,,,,,,,,,,,,,11,12,,,,,,18,,,,,0,0,69,41,102_170
7,2019-11-17,102,201,private_transport,,,,,,,,,,,10,,,11,,,,,,,,,,,0,0,69,21,102_201
7,2019-11-17,102,203,private_transport,,,,,,,,,,,,,,,,,10,,,,,,,,0,0,69,10,102_203
7,2019-11-17,102,204,microtrip,,,,,,,,,,,,,,,,,,,,10,,,,,0,0,69,10,102_204
7,2019-11-17,102,204,private_transport,10,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,10,102_204
7,2019-11-17,102,207,bus,,,,,,,,,,,,,,,,13,,,,,,,,,0,0,69,13,102_207
7,2019-11-17,102,207,microtrip,,,,,,,,,,,,,,,,,,,,,11,,,,0,0,69,11,102_207
7,2019-11-17,102,207,private_transport,,,,,,,,,,,21,15,,,,29,,,,20,,,,,0,0,69,85,102_207
7,2019-11-17,102,208,private_transport,,,,,,,,,,,,,,20,,,,,,15,,,,,0,0,69,35,102_208
7,2019-11-17,103,102,microtrip,18,13,11,,,,,,11,13,,28,15,,11,11,,28,12,23,,11,,,11,40,69,205,103_102
7,2019-11-17,103,103,microtrip,,,,,,,,,,,21,19,,10,15,17,,,10,19,17,,,,0,10,69,128,103_103
7,2019-11-17,103,103,private_transport,,,,,,,,,,,,,,,,,,,,11,,,,,0,0,69,11,103_103
7,2019-11-17,103,104,microtrip,,,,,,,,,15,,13,,,10,,,,,,11,,,,,15,0,69,49,103_104
7,2019-11-17,103,105,microtrip,,,,,,,,,12,,,,,,10,,,,,,,,,10,12,0,69,32,103_105
7,2019-11-17,103,106,microtrip,,,,,10,,,11,,18,,24,,19,,20,,,11,,15,,,,11,11,69,128,103_106
7,2019-11-17,103,107,microtrip,10,,10,,,,10,,,12,,,,10,,,10,,,,,,,,0,0,69,62,103_107
7,2019-11-17,103,110,private_transport,,,,,,,,,,,,,,,,,35,,,,,,,,0,0,69,35,103_110
7,2019-11-17,103,113,private_transport,,,,,,,,,,,,,,10,,,,,20,,,,,,0,20,69,30,103_113
7,2019-11-17,103,115,microtrip,,,,,,,,,,,,,,,,,12,,,,,,,,0,0,69,12,103_115
7,2019-11-17,103,117,microtrip,,,12,,,,,11,,15,11,16,,19,,,,23,,25,,,,,11,23,69,132,103_117
7,2019-11-17,103,120,microtrip,,,,,,,,,,,,,,,,,,11,,,,,,,0,11,69,11,103_120
7,2019-11-17,103,122,microtrip,,,,,,,12,,,,,,,,,,,,,,,,,,0,0,69,12,103_122
7,2019-11-17,103,126,private_transport,,,,,,,,,,,,,,,,10,,,,,,,,,0,0,69,10,103_126
7,2019-11-17,103,128,microtrip,,12,,,,,,,,20,20,32,23,25,,23,20,,,28,10,13,,,0,0,69,226,103_128
7,2019-11-17,103,128,private_transport,,,,,,,,,,,,,22,,,,,,,15,,,,,0,0,69,37,103_128
7,2019-11-17,103,129,microtrip,,,,,,,,13,,,,,,11,,,,,,,,,,,13,0,69,24,103_129
7,2019-11-17,103,130,private_transport,,,,,,,,,,,,,,,,,14,,,,,,,,0,0,69,14,103_130
7,2019-11-17,103,134,microtrip,10,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,10,103_134
7,2019-11-17,103,144,private_transport,,,,,,,,,,,,,,25,,,,,,,,,,,0,0,69,25,103_144
7,2019-11-17,103,145,private_transport,20,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,20,103_145
7,2019-11-17,103,146,private_transport,16,,,,,,,,,,,,,,,,,,11,,,,,,0,11,69,27,103_146
7,2019-11-17,103,159,microtrip,,,,,,,,,,,,,,,,,,,,,,10,,,0,0,69,10,103_159
7,2019-11-17,103,160,microtrip,,,,,11,,,,,,,,,13,11,,,17,16,18,,,,,0,33,69,86,103_160
7,2019-11-17,103,160,private_transport,,,,25,,,,,,,,,,,,,,,,,,,,,0,0,69,25,103_160
7,2019-11-17,103,165,microtrip,,,,,,,,,,,,10,,,,,,,,,,,,,0,0,69,10,103_165
7,2019-11-17,103,167,microtrip,,,,,,,,,,,,,,11,,,,,,,,10,,,0,0,69,21,103_167
7,2019-11-17,103,167,private_transport,,,,,,,,,,,,20,,,,,,,,,,,,,0,0,69,20,103_167
7,2019-11-17,103,168,private_transport,,,,,,,,,,,,,,,,,,,,,66,,,,0,0,69,66,103_168
7,2019-11-17,103,169,private_transport,,,,,,,,,,,,,,14,,10,,,,,,,,,0,0,69,24,103_169
7,2019-11-17,103,202,private_transport,,,,,,,,,,,,18,,,,,,,,,,,,,0,0,69,18,103_202
7,2019-11-17,103,207,private_transport,,,,,,,,,,,,,,47,,,,,,,,,,,0,0,69,47,103_207
7,2019-11-17,103,208,private_transport,,,,,,,,,,,,,,,,12,,,,,,,,,0,0,69,12,103_208
7,2019-11-17,104,102,microtrip,11,,,,,,,11,,19,,14,,,,10,,13,15,15,,11,13,,11,28,69,132,104_102
7,2019-11-17,104,102,private_transport,,,,,,,,,,,97,,,,,,,,,,,,,,0,0,69,97,104_102
7,2019-11-17,104,103,microtrip,11,,,,,,,,,,12,,,,13,,,,,12,,,,,0,0,69,48,104_103
7,2019-11-17,104,104,bus,,,,,,,,,,,,,10,36,,,,17,,39,,40,,,0,17,69,142,104_104
7,2019-11-17,104,104,microtrip,38,16,,,13,16,16,25,32,57,41,39,15,62,51,33,50,77,48,43,22,21,22,,57,125,69,737,104_104
7,2019-11-17,104,104,private_transport,,,54,84,,,,,,,,41,57,83,,10,,55,,168,,36,,,0,55,69,588,104_104
7,2019-11-17,104,105,bus,,,,,,,,,,,,,12,,,,,,,10,,,,,0,0,69,22,104_105
7,2019-11-17,104,105,microtrip,15,18,,,,,10,14,,20,23,23,19,21,16,,21,28,,12,,,16,,14,28,69,256,104_105
7,2019-11-17,104,105,private_transport,,,,13,,,,,27,,,29,71,,,37,,,,38,,,,,27,0,69,215,104_105
7,2019-11-17,104,106,bus,,,,,,,,,,,,,12,,,,,,,,,,,,0,0,69,12,104_106
7,2019-11-17,104,106,microtrip,18,,,,,,,,,,,,20,14,10,14,14,20,12,16,,13,,,0,32,69,151,104_106
7,2019-11-17,104,106,private_transport,,,,,,,,,,,,,16,,,,,,,,,,,,0,0,69,16,104_106
7,2019-11-17,104,107,microtrip,,,11,11,,,,,,,,13,,15,,,,,,,15,,,,0,0,69,65,104_107
7,2019-11-17,104,107,private_transport,,,,,,,,,18,,,16,18,,,,,,,,,,,,18,0,69,52,104_107
7,2019-11-17,104,110,microtrip,13,,,11,,,12,,,,,,11,,,10,,,13,,14,,,,0,13,69,84,104_110
7,2019-11-17,104,111,microtrip,,,,11,,,,,,,,,,,,,,,,,,,,,0,0,69,11,104_111
7,2019-11-17,104,112,bus,,,,,,,,,,,14,,,,,,,,,,,,,,0,0,69,14,104_112
7,2019-11-17,104,112,private_transport,,,,,,,,,,,31,,10,,,26,,,,,,,,,0,0,69,67,104_112
7,2019-11-17,104,115,bus,,,,,,,,,,,,,,,,,,,,15,,,,,0,0,69,15,104_115
7,2019-11-17,104,115,microtrip,10,,,,,,10,16,19,,16,,10,20,,29,,22,25,33,19,24,,,35,47,69,253,104_115
7,2019-11-17,104,115,private_transport,,,,,,,,,,,,,,,,,,26,,13,,,,,0,26,69,39,104_115
7,2019-11-17,104,116,bus,,,,,,,,,,,,,,22,,,,,,27,,15,,,0,0,69,64,104_116
7,2019-11-17,104,116,microtrip,,,,,,,,,,21,13,,,11,23,24,16,16,32,18,,11,,,0,48,69,185,104_116
7,2019-11-17,104,116,private_transport,,,36,40,,,,,,,,14,,44,,,,,,75,,19,,,0,0,69,228,104_116
7,2019-11-17,104,117,bus,,,,,,,,11,,,,,,13,,,,,,,,,,,11,0,69,24,104_117
7,2019-11-17,104,117,microtrip,35,,,,,,18,18,14,15,,20,16,,22,15,,10,12,20,13,,12,11,32,22,69,251,104_117
7,2019-11-17,104,117,private_transport,,,,,,,,,,,,,,18,,,,,,,,,,,0,0,69,18,104_117
7,2019-11-17,104,120,microtrip,,,,,,,,,,,,,11,,,,,,,,,,,,0,0,69,11,104_120
7,2019-11-17,104,123,private_transport,,,,,,,,,,,,,,,,,,,27,,,,,,0,27,69,27,104_123
7,2019-11-17,104,124,private_transport,,,,,,,,,,,,,,,,,47,,,,,,,,0,0,69,47,104_124
7,2019-11-17,104,125,microtrip,10,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,10,104_125
7,2019-11-17,104,126,bus,,,,,,,,,,,,,,,,,,,,25,,,,,0,0,69,25,104_126
7,2019-11-17,104,126,microtrip,17,,,,,,,15,,22,28,16,16,,16,30,38,29,15,16,15,10,,12,15,44,69,295,104_126
7,2019-11-17,104,126,private_transport,,,16,16,,,,,11,,,11,42,20,19,68,,,,87,,,,,11,0,69,290,104_126
7,2019-11-17,104,127,bus,,,,,,,,,,,,,13,,,13,,,,,,,,,0,0,69,26,104_127
7,2019-11-17,104,127,microtrip,11,,,,,,,15,,,,,,,11,11,,,,,,17,,,15,0,69,65,104_127
7,2019-11-17,104,127,private_transport,,,,,,,,,,,,,13,,,,,,,,,,,,0,0,69,13,104_127
7,2019-11-17,104,128,microtrip,12,,12,,,,10,,,,,13,,19,11,,13,17,14,,10,,,,0,31,69,131,104_128
7,2019-11-17,104,129,microtrip,,,,,,,,,,,,,,,12,,,,,,,,,,0,0,69,12,104_129
7,2019-11-17,104,130,microtrip,,,,,,,,,,,10,,10,,,,,11,11,10,,,14,,0,22,69,66,104_130
7,2019-11-17,104,131,microtrip,,,10,,,,,,,,,,,,,15,,,,,,,11,,0,0,69,36,104_131
7,2019-11-17,104,131,private_transport,,,,,,,,,,,14,,,,,,,,,,,,,,0,0,69,14,104_131
7,2019-11-17,104,135,microtrip,,,,,,,,,,,,,,,12,,,,,,,,13,,0,0,69,25,104_135
7,2019-11-17,104,135,private_transport,,,,,,,,,,,,,13,,,,,,,,,,,,0,0,69,13,104_135
7,2019-11-17,104,136,microtrip,,,,,,,,,,,,,,,,14,,,,,,,,,0,0,69,14,104_136
7,2019-11-17,104,139,bus,,,,12,,,,,,,,,,,,,,,,,,,,,0,0,69,12,104_139
7,2019-11-17,104,139,private_transport,,,,13,,,,,,,10,,,,,,,,,,,,,,0,0,69,23,104_139
7,2019-11-17,104,141,private_transport,,,,,,,,,,,,,,,,,,64,,,,,,,0,64,69,64,104_141
7,2019-11-17,104,143,private_transport,,,,,,,,,,,,,,,,,10,,,,,,,,0,0,69,10,104_143
7,2019-11-17,104,145,microtrip,,10,,,,,,,11,,,,,12,,,,,10,,,,,,11,10,69,43,104_145
7,2019-11-17,104,145,private_transport,,,,,,,,,,,,32,,,,,,,,,,,,,0,0,69,32,104_145
7,2019-11-17,104,146,microtrip,,10,,,,10,,,10,,,,,11,,,10,,,,,,,,10,0,69,51,104_146
7,2019-11-17,104,146,private_transport,,,,,,,,,,,,14,,,,,,,,,,,,,0,0,69,14,104_146
7,2019-11-17,104,147,private_transport,,,,,,,,,,,,,,,,19,,,,,,,,,0,0,69,19,104_147
7,2019-11-17,104,148,private_transport,,,,,,,,43,,,,,,13,,,,13,,,,,,,43,13,69,69,104_148
7,2019-11-17,104,149,microtrip,12,,,,,,,,,,,21,,,,,,12,,,,,,,0,12,69,45,104_149
7,2019-11-17,104,150,private_transport,,,,,,,,,,,,18,,,,,,,,,,,,,0,0,69,18,104_150
7,2019-11-17,104,152,bus,,,,,,,,,,,,,,,,12,,,,,,,,,0,0,69,12,104_152
7,2019-11-17,104,152,microtrip,,,,,,,,,,,,,,,,,,,,,,13,,,0,0,69,13,104_152
7,2019-11-17,104,152,private_transport,,,,,,,,,,,,,,,,36,,,,,,,,,0,0,69,36,104_152
7,2019-11-17,104,153,private_transport,,,,,,,,,,,14,,,,,16,,,,,,,,,0,0,69,30,104_153
7,2019-11-17,104,154,microtrip,,,,,,,,,,,,11,,,,,,10,,,,,13,,0,10,69,34,104_154
7,2019-11-17,104,154,private_transport,,,,,,,,,,,,,,,,17,,,,,,,,,0,0,69,17,104_154
7,2019-11-17,104,155,bus,,,,,,,,,,,,,26,,,,,,,,,,,,0,0,69,26,104_155
7,2019-11-17,104,155,private_transport,,,,,,,,,,,,,51,,,,,,,,,,,,0,0,69,51,104_155
7,2019-11-17,104,156,private_transport,,,,,,,,,,,,,,,,,,,43,,,,,,0,43,69,43,104_156
7,2019-11-17,104,157,bus,,,,,,,,,,,15,,,,,,,,,,,,,,0,0,69,15,104_157
7,2019-11-17,104,157,private_transport,,,,,,,,,,,15,,,,,,,,,,,,,,0,0,69,15,104_157
7,2019-11-17,104,158,private_transport,,,,,,,,,,,,,,,,,,,14,,,,,,0,14,69,14,104_158
7,2019-11-17,104,159,private_transport,,,,,,,,,,,10,,,,,,,,,,,,,,0,0,69,10,104_159
7,2019-11-17,104,160,bus,,,,,,,,,,,,,,27,,,,,,,,,,,0,0,69,27,104_160
7,2019-11-17,104,160,microtrip,18,,14,,,,11,23,16,,,25,16,,14,13,15,,,,13,15,,,39,0,69,193,104_160
7,2019-11-17,104,160,private_transport,,,,,,,,,,,22,,,63,,,,,,,,,,,0,0,69,85,104_160
7,2019-11-17,104,161,bus,,,,,,,,,,,,,17,,,,,,,,,,,,0,0,69,17,104_161
7,2019-11-17,104,165,bus,,,,,,,,,,,,12,,,,,,,,,,,,,0,0,69,12,104_165
