ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359,Total_M,Total_T,Total_MT,Total,Chave_O+D
7,2019-11-17,104,116,bus,,,,,,,,10,,,,,,,,,,,,,,,,,10,0,10,10,104_116
7,2019-11-17,104,116,microtrip,,,,,,,,,,,,,13,,,13,,,,,10,,,,0,0,0,36,104_116
7,2019-11-17,104,116,private_transport,,,,,,,,21,18,,,,,,27,27,,14,,,,,,,39,14,53,107,104_116
7,2019-11-17,104,117,microtrip,,,,,,,10,,,11,,12,,,,,,,,,,,,,0,0,0,33,104_117
7,2019-11-17,104,118,bus,,,,,,,,,,,,19,,,,,,,,,,,,,0,0,0,19,104_118
7,2019-11-17,104,118,private_transport,,,,,,,,,,,,25,,,,,,,,,,,,,0,0,0,25,104_118
7,2019-11-17,104,119,microtrip,,,,,,,,12,,,,,,,,,,,,,,,,,12,0,12,12,104_119
7,2019-11-17,104,125,microtrip,,,,,,,,,,,,,,,,,12,,,,,,,,0,0,0,12,104_125
7,2019-11-17,104,126,microtrip,,,,,12,,,,,12,,11,16,,,10,,17,,15,,,,,0,17,17,93,104_126
7,2019-11-17,104,126,private_transport,,,,,,,,,16,,,,,,,18,,,,,,,,,16,0,16,34,104_126
7,2019-11-17,104,128,microtrip,,,,,,,,,,,,10,,,,,,,,,,,,,0,0,0,10,104_128
7,2019-11-17,104,130,microtrip,,,,,,,,,,,,10,,,,,,,,,,,,,0,0,0,10,104_130
7,2019-11-17,104,130,private_transport,,,,,,,,,,,,,,,,,,11,,,,,,,0,11,11,11,104_130
7,2019-11-17,104,131,microtrip,,,,,,,,,,,11,,,,,,,,,,,,,,0,0,0,11,104_131
7,2019-11-17,104,132,bus,,,,,,,,,,,,42,,,,,,,,,,,,,0,0,0,42,104_132
7,2019-11-17,104,132,private_transport,,,,,,,,,,,,26,,,,,,,,,,,,,0,0,0,26,104_132
7,2019-11-17,104,134,microtrip,,,,,,,,,11,,,,,,,,,,,,,,,,11,0,11,11,104_134
7,2019-11-17,104,135,microtrip,16,,,,,,11,,,,,,14,,,,,,,,,,,,0,0,0,41,104_135
7,2019-11-17,104,136,microtrip,,,,,,,,,,,,10,,,,,,,,,,,,,0,0,0,10,104_136
7,2019-11-17,104,137,microtrip,,,,,,,,,,,12,,,,,,,,,,,,,,0,0,0,12,104_137
7,2019-11-17,104,146,microtrip,,,,,,,,,,,,,,,,,,10,,,11,,,,0,10,10,21,104_146
7,2019-11-17,104,147,microtrip,,,,,,,,,,,,,,,,,,,10,,,,,,0,10,10,10,104_147
7,2019-11-17,104,148,private_transport,,,,,,,,,,,,,,,,,,11,,,,,,,0,11,11,11,104_148
7,2019-11-17,104,159,microtrip,,,,,,,,,,,,,,,,11,,,10,,,,,,0,10,10,21,104_159
7,2019-11-17,104,160,microtrip,,,,,,,,,,,,20,15,,,,,,,,15,,,,0,0,0,50,104_160
7,2019-11-17,104,162,microtrip,,,,,,,,,,,,,10,,,,,,,,,,,,0,0,0,10,104_162
7,2019-11-17,104,165,microtrip,,,,,,,,,,,,,,,,,,12,,,,,,,0,12,12,12,104_165
7,2019-11-17,104,167,bus,,,,,,,,,,,,,,,,,,29,,,,,,,0,29,29,29,104_167
7,2019-11-17,104,167,microtrip,,,,,,,,,,,,,,,,,,12,,,,,,,0,12,12,12,104_167
7,2019-11-17,104,167,private_transport,,,,,,,,,,,,,,,,,,76,,,,,,,0,76,76,76,104_167
7,2019-11-17,104,170,microtrip,,,,,,,,,10,,,,,,,,,,,,,,,,10,0,10,10,104_170
7,2019-11-17,105,104,microtrip,,,,,,,,11,,,,,,,,,,11,,,,14,,,11,11,22,36,105_104
7,2019-11-17,105,105,microtrip,,,,,,,,,,,,,,,,,,10,,,12,15,,,0,10,10,37,105_105
7,2019-11-17,105,106,microtrip,,,,,,,,,,10,,,11,,,,,,,,,,,,0,0,0,21,105_106
7,2019-11-17,105,107,microtrip,,,,,,,,,,,,,15,,,,,,,,,,,,0,0,0,15,105_107
7,2019-11-17,105,110,private_transport,,,,10,,,10,,,,,,,,,,,,,,,,,,0,0,0,20,105_110
7,2019-11-17,105,111,private_transport,,,,17,,,,,,,,,,,,,,,,,,,,,0,0,0,17,105_111
7,2019-11-17,105,116,private_transport,,,,,,,,11,,,,,,,,,,,,,,,,,11,0,11,11,105_116
7,2019-11-17,105,126,microtrip,,,,,,,,,,,,,,,,,,,,12,,10,,,0,0,0,22,105_126
7,2019-11-17,105,127,microtrip,,,,,,,,,,,,,,,,12,,,,12,,,,,0,0,0,24,105_127
7,2019-11-17,105,128,microtrip,13,11,,,,,,,10,,,,,,,,,,,,,,,,10,0,10,34,105_128
7,2019-11-17,105,129,microtrip,,,,,,,,,,,,,,,,11,,,,,,,,,0,0,0,11,105_129
7,2019-11-17,105,130,microtrip,,,,,,,,,,,,,,,,,,,,,,,11,,0,0,0,11,105_130
7,2019-11-17,105,134,private_transport,,,,,,,18,,,,,,,,,,,,,,,,,,0,0,0,18,105_134
7,2019-11-17,105,137,microtrip,,,,,,,,,,12,,,,,,,,,,,,,,,0,0,0,12,105_137
7,2019-11-17,105,146,private_transport,,,,,,,,,,12,,,,,,,,,,,,,,,0,0,0,12,105_146
7,2019-11-17,105,149,microtrip,10,,,,,,,,,,,,,,10,,,,,,,,,,0,0,0,20,105_149
7,2019-11-17,105,162,microtrip,,,,,,,,,,,10,,,,,,,,,,,,,,0,0,0,10,105_162
7,2019-11-17,105,167,private_transport,13,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,13,105_167
7,2019-11-17,105,168,private_transport,17,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,17,105_168
7,2019-11-17,105,170,private_transport,,,,10,,,11,,,,,,,,,,,,,,,,,,0,0,0,21,105_170
7,2019-11-17,105,202,private_transport,11,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,11,105_202
7,2019-11-17,106,103,microtrip,,,,,,,,,,,10,,,,,11,,,,,,,,,0,0,0,21,106_103
