ProjectID,Date,Origin,Destination,Modo,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1900_1959,2000_2059,2100_2159
42,2020-03-05,118:152,89:118,bus,,,,,,,,14.0,,,,,,
42,2020-03-05,118:152,97:102,private_transport,,,,,,,,11.0,,,,,,
42,2020-03-05,119:151,118:152,bus,,11.0,,,,,,,,,,,,
42,2020-03-05,119:151,118:152,private_transport,,13.0,,,,,,,,,,,,
42,2020-03-05,119:151,117:153,bus,,10.0,,,,,,,,,,,,
42,2020-03-05,119:151,119:151,bus,,23.0,,,,,,,,,,,,
42,2020-03-05,119:151,136:150,bus,,18.0,,,,,,,,,,,,
42,2020-03-05,120:166,141:145,bus,,15.0,,,,,,,,,,,,
42,2020-03-05,120:166,141:145,private_transport,,14.0,,,,,,,,,,,,
42,2020-03-05,120:166,145:125,bus,,,,,,,,,,15.0,,,,
42,2020-03-05,120:166,156:130,bus,,,,,,,,,,17.0,,,,
42,2020-03-05,120:166,156:130,private_transport,,,,,,,,,,14.0,,,,
42,2020-03-05,120:166,160:110,bus,,,,,,,,,,21.0,,,,
42,2020-03-05,120:166,160:110,private_transport,,,,,,,,,,16.0,,,,
42,2020-03-05,120:166,96:111,bus,,,,,,,,,,15.0,,,,
42,2020-03-05,120:166,118:152,bus,,,,,,,,,,,,,23.0,
42,2020-03-05,120:166,118:152,private_transport,,,,,,,,,,,,,10.0,
42,2020-03-05,120:166,97:102,private_transport,,,,,,26.0,,,,,,,,
42,2020-03-05,120:166,117:153,private_transport,,,,,,,,,,,,,10.0,
42,2020-03-05,120:166,119:151,bus,,,,,,,,,,,,,23.0,
42,2020-03-05,120:166,136:150,private_transport,,,,,,,,,,,,,12.0,
42,2020-03-05,120:166,102:204,bus,,10.0,,,,,,,,,,,,
42,2020-03-05,120:166,120:166,bus,,32.0,,,,,,,,,,,,
42,2020-03-05,120:166,120:166,private_transport,,17.0,,,,,,,,,,,,
42,2020-03-05,120:166,137:149,bus,,11.0,,,,,,,,,,,,
42,2020-03-05,120:166,144:126,bus,,13.0,,,,,,,,,,,,
42,2020-03-05,120:166,159:127,bus,,18.0,11.0,,,,,,,,,,,
42,2020-03-05,120:166,159:127,private_transport,,12.0,14.0,,,,,,,,,,,
42,2020-03-05,120:166,52:325,private_transport,,,,,,,,,11.0,,,,,
42,2020-03-05,120:166,92:115,bus,,,,,,,,,,10.0,,,,
42,2020-03-05,120:166,99:101,bus,,,11.0,,,,,,,,,,,
42,2020-03-05,122:164,111:167,bus,,,,,12.0,,,,,,,,,
42,2020-03-05,122:164,148:122,bus,,,,,21.0,,,,,,,,,
42,2020-03-05,122:164,148:122,private_transport,,,,,26.0,,,,,,,,,
42,2020-03-05,122:164,87:104,bus,,,,,,,,,,,,27.0,,
42,2020-03-05,122:164,91:116,bus,,,,,,,,,,,,15.0,,
42,2020-03-05,122:164,91:116,private_transport,,,,,,,,,,,,18.0,,
42,2020-03-05,126:160,126:160,private_transport,,,,,,,,,,,,72.0,,
42,2020-03-05,126:160,160:110,private_transport,,,,,,,,,,,,12.0,,
42,2020-03-05,126:160,90:117,private_transport,,,,,,,,,,,,36.0,,
42,2020-03-05,127:159,111:167,bus,,,,,13.0,,,,,,,,,
42,2020-03-05,127:159,148:122,private_transport,,,,,21.0,,,,,,,,,
42,2020-03-05,127:159,87:104,bus,,,,,,,,,,,,20.0,,
42,2020-03-05,127:159,91:116,private_transport,,,,,,,,,,,,12.0,,
42,2020-03-05,130:140,153:133,private_transport,,,,,,,11.0,,,,,,,
42,2020-03-05,130:140,154:132,bus,,,,,,,12.0,,,,,,,
42,2020-03-05,133:137,160:110,bus,,,15.0,,,,,,,,,,,
42,2020-03-05,134:136,160:110,bus,,,10.0,,,,,,,,,,,
42,2020-03-05,134:136,97:102,bus,,,,,,,,14.0,,,,,,
42,2020-03-05,136:150,141:145,bus,,10.0,,,,,,,,,,,,
42,2020-03-05,136:150,160:110,bus,,,,,,,,,,15.0,,,,
42,2020-03-05,136:150,118:152,bus,,,,,,,,,,,,,13.0,
42,2020-03-05,136:150,118:152,private_transport,,12.0,,,,,,,,,,,,
42,2020-03-05,136:150,119:151,bus,,,,,,,,,,,,,16.0,
42,2020-03-05,136:150,136:150,private_transport,,12.0,,,,,,,,,,,,
42,2020-03-05,139:147,156:130,bus,,,,14.0,,,,,,,,,,
42,2020-03-05,139:147,129:141,bus,,,,,,,,15.0,,,,,,
42,2020-03-05,139:147,97:102,bus,,,,,,,,14.0,,,,,,
